region,Sex,age,variable,value
Africa,Men,15-19,BMI < 17 kg/m²,0.227459052578694
Africa,Men,20-24,BMI < 17 kg/m²,0.0783659919457984
Africa,Men,25-29,BMI < 17 kg/m²,0.0612248482264135
Africa,Men,30-34,BMI < 17 kg/m²,0.0566922246492597
Africa,Men,35-39,BMI < 17 kg/m²,0.0591750389673492
Africa,Men,40-44,BMI < 17 kg/m²,0.0656938429035798
Africa,Men,45-49,BMI < 17 kg/m²,0.0749284335597735
Africa,Men,50-54,BMI < 17 kg/m²,0.0840132086672216
Africa,Men,55-59,BMI < 17 kg/m²,0.0918399322475901
Africa,Men,60-64,BMI < 17 kg/m²,0.100223894618257
Africa,Men,65-69,BMI < 17 kg/m²,0.107058942644922
Africa,Men,70-74,BMI < 17 kg/m²,0.114529464012955
Africa,Men,75-79,BMI < 17 kg/m²,0.125221558817964
Africa,Men,80-84,BMI < 17 kg/m²,0.135108729414637
Africa,Men,85plus,BMI < 17 kg/m²,0.147162153274914
Africa,Women,15-19,BMI < 17 kg/m²,0.0873954597938011
Africa,Women,20-24,BMI < 17 kg/m²,0.0709953977104276
Africa,Women,25-29,BMI < 17 kg/m²,0.0626545116738383
Africa,Women,30-34,BMI < 17 kg/m²,0.0571154105780581
Africa,Women,35-39,BMI < 17 kg/m²,0.0546819067096197
Africa,Women,40-44,BMI < 17 kg/m²,0.0559608057354949
Africa,Women,45-49,BMI < 17 kg/m²,0.0613284347286081
Africa,Women,50-54,BMI < 17 kg/m²,0.0670424669876635
Africa,Women,55-59,BMI < 17 kg/m²,0.074390149628843
Africa,Women,60-64,BMI < 17 kg/m²,0.0855248024719177
Africa,Women,65-69,BMI < 17 kg/m²,0.0984921948304129
Africa,Women,70-74,BMI < 17 kg/m²,0.115596240938287
Africa,Women,75-79,BMI < 17 kg/m²,0.139596966269169
Africa,Women,80-84,BMI < 17 kg/m²,0.165685579032879
Africa,Women,85plus,BMI < 17 kg/m²,0.194463390792788
The Americas,Men,15-19,BMI < 17 kg/m²,0.0511950260214019
The Americas,Men,20-24,BMI < 17 kg/m²,0.0324932842880067
The Americas,Men,25-29,BMI < 17 kg/m²,0.0150928032244466
The Americas,Men,30-34,BMI < 17 kg/m²,0.00822712525996723
The Americas,Men,35-39,BMI < 17 kg/m²,0.00551750615380541
The Americas,Men,40-44,BMI < 17 kg/m²,0.00433056057117687
The Americas,Men,45-49,BMI < 17 kg/m²,0.00388160795954611
The Americas,Men,50-54,BMI < 17 kg/m²,0.00380377089397008
The Americas,Men,55-59,BMI < 17 kg/m²,0.00392939315009427
The Americas,Men,60-64,BMI < 17 kg/m²,0.00393074384623705
The Americas,Men,65-69,BMI < 17 kg/m²,0.00392557413974467
The Americas,Men,70-74,BMI < 17 kg/m²,0.00413895724269719
The Americas,Men,75-79,BMI < 17 kg/m²,0.0047344928302867
The Americas,Men,80-84,BMI < 17 kg/m²,0.00623465600511289
The Americas,Men,85plus,BMI < 17 kg/m²,0.00883166955362112
The Americas,Women,15-19,BMI < 17 kg/m²,0.0392982338166
The Americas,Women,20-24,BMI < 17 kg/m²,0.0452611590992902
The Americas,Women,25-29,BMI < 17 kg/m²,0.0251482737821193
The Americas,Women,30-34,BMI < 17 kg/m²,0.0150561579983868
The Americas,Women,35-39,BMI < 17 kg/m²,0.010103406452982
The Americas,Women,40-44,BMI < 17 kg/m²,0.00757787797761551
The Americas,Women,45-49,BMI < 17 kg/m²,0.00633237114359405
The Americas,Women,50-54,BMI < 17 kg/m²,0.00600452363485088
The Americas,Women,55-59,BMI < 17 kg/m²,0.00611314844276507
The Americas,Women,60-64,BMI < 17 kg/m²,0.00631377054208416
The Americas,Women,65-69,BMI < 17 kg/m²,0.00666636356521145
The Americas,Women,70-74,BMI < 17 kg/m²,0.0075689345171713
The Americas,Women,75-79,BMI < 17 kg/m²,0.00967609410520028
The Americas,Women,80-84,BMI < 17 kg/m²,0.0140487654017507
The Americas,Women,85plus,BMI < 17 kg/m²,0.0253668972739901
Eastern Mediterranean,Men,15-19,BMI < 17 kg/m²,0.184346756902666
Eastern Mediterranean,Men,20-24,BMI < 17 kg/m²,0.0884194303152972
Eastern Mediterranean,Men,25-29,BMI < 17 kg/m²,0.0431716443056443
Eastern Mediterranean,Men,30-34,BMI < 17 kg/m²,0.0246160271907616
Eastern Mediterranean,Men,35-39,BMI < 17 kg/m²,0.0173618643439989
Eastern Mediterranean,Men,40-44,BMI < 17 kg/m²,0.0143222021551982
Eastern Mediterranean,Men,45-49,BMI < 17 kg/m²,0.0129943939443711
Eastern Mediterranean,Men,50-54,BMI < 17 kg/m²,0.0128857218731544
Eastern Mediterranean,Men,55-59,BMI < 17 kg/m²,0.0139766928674188
Eastern Mediterranean,Men,60-64,BMI < 17 kg/m²,0.0161272946284425
Eastern Mediterranean,Men,65-69,BMI < 17 kg/m²,0.0187233404544255
Eastern Mediterranean,Men,70-74,BMI < 17 kg/m²,0.0220493238954667
Eastern Mediterranean,Men,75-79,BMI < 17 kg/m²,0.0284431855010119
Eastern Mediterranean,Men,80-84,BMI < 17 kg/m²,0.0384672978251383
Eastern Mediterranean,Men,85plus,BMI < 17 kg/m²,0.0615613558740303
Eastern Mediterranean,Women,15-19,BMI < 17 kg/m²,0.112978710604921
Eastern Mediterranean,Women,20-24,BMI < 17 kg/m²,0.0840567628884133
Eastern Mediterranean,Women,25-29,BMI < 17 kg/m²,0.0463406414081288
Eastern Mediterranean,Women,30-34,BMI < 17 kg/m²,0.0264263124026962
Eastern Mediterranean,Women,35-39,BMI < 17 kg/m²,0.0167087574899806
Eastern Mediterranean,Women,40-44,BMI < 17 kg/m²,0.012325216786787
Eastern Mediterranean,Women,45-49,BMI < 17 kg/m²,0.0107353787022988
Eastern Mediterranean,Women,50-54,BMI < 17 kg/m²,0.0112186304820911
Eastern Mediterranean,Women,55-59,BMI < 17 kg/m²,0.0132710340739697
Eastern Mediterranean,Women,60-64,BMI < 17 kg/m²,0.0165673842344074
Eastern Mediterranean,Women,65-69,BMI < 17 kg/m²,0.0206939012712136
Eastern Mediterranean,Women,70-74,BMI < 17 kg/m²,0.0259615244822476
Eastern Mediterranean,Women,75-79,BMI < 17 kg/m²,0.0338647027410198
Eastern Mediterranean,Women,80-84,BMI < 17 kg/m²,0.0460053957902653
Eastern Mediterranean,Women,85plus,BMI < 17 kg/m²,0.0727556648616252
Europe,Men,15-19,BMI < 17 kg/m²,0.0567892081816408
Europe,Men,20-24,BMI < 17 kg/m²,0.0244836573057365
Europe,Men,25-29,BMI < 17 kg/m²,0.00954785131263156
Europe,Men,30-34,BMI < 17 kg/m²,0.00436664905225151
Europe,Men,35-39,BMI < 17 kg/m²,0.00249298126537118
Europe,Men,40-44,BMI < 17 kg/m²,0.00173936683041727
Europe,Men,45-49,BMI < 17 kg/m²,0.00140012906396351
Europe,Men,50-54,BMI < 17 kg/m²,0.00127024976791867
Europe,Men,55-59,BMI < 17 kg/m²,0.00118094209779941
Europe,Men,60-64,BMI < 17 kg/m²,0.00116593527782482
Europe,Men,65-69,BMI < 17 kg/m²,0.00108282106336033
Europe,Men,70-74,BMI < 17 kg/m²,0.00104681712235983
Europe,Men,75-79,BMI < 17 kg/m²,0.00108008785321544
Europe,Men,80-84,BMI < 17 kg/m²,0.00148772789526913
Europe,Men,85plus,BMI < 17 kg/m²,0.0031301423769843
Europe,Women,15-19,BMI < 17 kg/m²,0.0470284333264174
Europe,Women,20-24,BMI < 17 kg/m²,0.0635362214333203
Europe,Women,25-29,BMI < 17 kg/m²,0.0418654176135525
Europe,Women,30-34,BMI < 17 kg/m²,0.0282162360340258
Europe,Women,35-39,BMI < 17 kg/m²,0.018455093974775
Europe,Women,40-44,BMI < 17 kg/m²,0.0121872490085791
Europe,Women,45-49,BMI < 17 kg/m²,0.00857403781653254
Europe,Women,50-54,BMI < 17 kg/m²,0.00666791685615021
Europe,Women,55-59,BMI < 17 kg/m²,0.00542904268641785
