g_whoregion,Sex,variable,mid,tv,value,lo,hi,region
AFR,Both,BMI < 17 kg/m²,0.831176407224233,0.000141055601252508,0.168823592775767,0.145545293916708,0.192101891634825,Africa
AFR,Both,BMI < 18.5 kg/m²,0.731225947528436,0.000265452288328199,0.268774052471564,0.236840347537097,0.300707757406031,Africa
AFR,Men,BMI < 17 kg/m²,0.841131214008928,0.000140358001926014,0.158868785991072,0.135648120621643,0.1820894513605,Africa
AFR,Men,BMI < 18.5 kg/m²,0.738738118669256,0.000266634726762639,0.261261881330744,0.229257132209225,0.293266630452263,Africa
AFR,Women,BMI < 17 kg/m²,0.815495428837713,0.000183536401721256,0.184504571162288,0.15795135213234,0.211057790192235,Africa
AFR,Women,BMI < 18.5 kg/m²,0.719392649721369,0.000316163317827195,0.280607350278631,0.245756625727125,0.315458074830137,Africa
AMR,Both,BMI < 17 kg/m²,0.944991807810887,2.48999871582342e-05,0.0550081921891134,0.0452278143504472,0.0647885700277795,The Americas
AMR,Both,BMI < 18.5 kg/m²,0.893873424512316,7.23431033338028e-05,0.106126575487684,0.0894558446768548,0.122797306298514,The Americas
AMR,Men,BMI < 17 kg/m²,0.952906055441362,2.20265976349978e-05,0.047093944558638,0.0378951741258787,0.0562927149913974,The Americas
AMR,Men,BMI < 18.5 kg/m²,0.904634505821009,6.71738189298862e-05,0.0953654941789911,0.079301405571135,0.111429582786847,The Americas
AMR,Women,BMI < 17 kg/m²,0.929924590097294,4.67689087371373e-05,0.0700754099027059,0.0566714015542832,0.0834794182511286,The Americas
AMR,Women,BMI < 18.5 kg/m²,0.87338637855644,0.000116500155157482,0.12661362144356,0.105458314873978,0.147768928013142,The Americas
EMR,Both,BMI < 17 kg/m²,0.848065177580675,0.000247183801905393,0.151934822419326,0.121119545471036,0.182750099367615,Eastern Mediterranean
EMR,Both,BMI < 18.5 kg/m²,0.763763264186416,0.000404904476448467,0.236236735813584,0.196797148636175,0.275676322990993,Eastern Mediterranean
EMR,Men,BMI < 17 kg/m²,0.857763823330402,0.000407327702898992,0.142236176669598,0.102678748751989,0.181793604587206,Eastern Mediterranean
EMR,Men,BMI < 18.5 kg/m²,0.775204411462733,0.000618371603621221,0.224795588537267,0.176056114263622,0.273535062810912,Eastern Mediterranean
EMR,Women,BMI < 17 kg/m²,0.835238044758361,0.000302947307940426,0.164761955241639,0.130647407345119,0.198876503138158,Eastern Mediterranean
EMR,Women,BMI < 18.5 kg/m²,0.748631552034017,0.000490612269368045,0.251368447965983,0.207954900610299,0.294781995321668,Eastern Mediterranean
EUR,Both,BMI < 17 kg/m²,0.96677076801629,1.25584081076917e-05,0.0332292319837096,0.0262834144949968,0.0401750494724224,Europe
EUR,Both,BMI < 18.5 kg/m²,0.927133497436748,4.47319131283494e-05,0.0728665025632519,0.0597576461114531,0.0859753590150507,Europe
EUR,Men,BMI < 17 kg/m²,0.979507514386751,5.65416603869421e-06,0.0204924856132487,0.0158319015024051,0.0251530697240923,Europe
EUR,Men,BMI < 18.5 kg/m²,0.948229563526533,2.54633894242084e-05,0.0517704364734667,0.0418800291607197,0.0616608437862137,Europe
EUR,Women,BMI < 17 kg/m²,0.941354888990774,3.60991880370761e-05,0.0586451110092257,0.0468689214403018,0.0704213005781495,Europe
EUR,Women,BMI < 18.5 kg/m²,0.885036791727379,0.000103812688751734,0.114963208272621,0.0949930599229303,0.134933356622312,Europe
Global,Both,BMI < 17 kg/m²,0.854281772871928,0.00010280420105634,0.145718227128072,0.125845315444626,0.165591138811517,Global
Global,Both,BMI < 18.5 kg/m²,0.763072672283324,0.00020934027136265,0.236927327716676,0.208568879478686,0.265285775954666,Global
Global,Men,BMI < 17 kg/m²,0.865611212745679,9.30510960052514e-05,0.134388787254321,0.11548204003504,0.153295534473601,Global
Global,Men,BMI < 18.5 kg/m²,0.774849111350626,0.000196858611125156,0.225150888649374,0.197650851549428,0.25265092574932,Global
Global,Women,BMI < 17 kg/m²,0.835481400229509,0.000139550509225984,0.164518599770491,0.141364826077148,0.187672373463834,Global
Global,Women,BMI < 18.5 kg/m²,0.74353053733815,0.00025916146840142,0.25646946266185,0.224916416897441,0.288022508426259,Global
SEA,Both,BMI < 17 kg/m²,0.832234242778759,0.000138043724274739,0.167765757221241,0.144737323249869,0.190794191192613,South-East Asia
SEA,Both,BMI < 18.5 kg/m²,0.732294168273205,0.000263287345381791,0.267705831726796,0.235902613870442,0.299509049583149,South-East Asia
SEA,Men,BMI < 17 kg/m²,0.843601823461509,0.000129547728280848,0.156398176538491,0.134089645592601,0.17870670748438,South-East Asia
SEA,Men,BMI < 18.5 kg/m²,0.743009184208036,0.000255808477246689,0.256990815791964,0.225642548755477,0.288339082828451,South-East Asia
SEA,Women,BMI < 17 kg/m²,0.814568924760642,0.00018659816779406,0.185431075239358,0.158657291020506,0.21220485945821,South-East Asia
SEA,Women,BMI < 18.5 kg/m²,0.71564294147829,0.000324538398954701,0.28435705852171,0.249047757857092,0.319666359186328,South-East Asia
WPR,Both,BMI < 17 kg/m²,0.910250790233015,0.000113059054638128,0.0897492097669847,0.0689086803999597,0.11058973913401,Western Pacific
WPR,Both,BMI < 18.5 kg/m²,0.834714658392523,0.000230801962201148,0.165285341607477,0.135508692736391,0.195061990478563,Western Pacific
WPR,Men,BMI < 17 kg/m²,0.915039137022031,0.000168898473016939,0.0849608629779692,0.0594885177003575,0.110433208255581,Western Pacific
WPR,Men,BMI < 18.5 kg/m²,0.841061038199022,0.000327822206366472,0.158938961800978,0.123451474034479,0.194426449567478,Western Pacific
WPR,Women,BMI < 17 kg/m²,0.899493550266277,0.000175162077407435,0.100506449733723,0.0745660828016925,0.126446816665754,Western Pacific
WPR,Women,BMI < 18.5 kg/m²,0.820457226024591,0.000317805935700411,0.179542773975409,0.144601633716587,0.214483914234232,Western Pacific
