g_whoregion,Sex,PAF17,PAF18.5,p17,p18.5,RR17,RR18.5
AFR,Both,0.168823592775767,0.268774052471564,0.0861337502603512,0.178139290341182,3.35812365155166,3.06336484880666
AFR,Men,0.158868785991072,0.261261881330744,0.101370577124023,0.211672519497565,2.86321472629786,2.67078690061322
AFR,Women,0.184504571162288,0.280607350278631,0.0712644506152562,0.145414915584209,4.17477285219577,3.68240340149436
AMR,Both,0.0550081921891134,0.106126575487684,0.0148627837104398,0.035478362603802,4.91650937952358,4.34645166738365
AMR,Men,0.047093944558638,0.0953654941789911,0.0131527772603344,0.0333303683109672,4.75748725288011,4.16284567340541
AMR,Women,0.0700754099027059,0.12661362144356,0.0164985340602594,0.0375330814124348,5.56743691029763,4.86242265376132
EMR,Both,0.151934822419326,0.236236735813584,0.0484961084645484,0.0906826442981176,4.6942067816664,4.41086469561931
EMR,Men,0.142236176669598,0.224795588537267,0.0534323286870167,0.0988631617639593,4.10340347571505,3.9331687754333
EMR,Women,0.164761955241639,0.251368447965983,0.0433310455212638,0.0821228787861601,5.55247428106487,5.08863622011185
EUR,Both,0.0332292319837096,0.0728665025632519,0.0134986791625983,0.0367751141688492,3.54627624427438,3.13713335558523
EUR,Men,0.0204924856132487,0.0517704364734667,0.00822305433444571,0.0251434661808723,3.54421440311629,3.1714167691468
EUR,Women,0.0586451110092257,0.114963208272621,0.0183574382555633,0.0474876605057616,4.3936445629496,3.73537438431544
Global,Both,0.145718227128072,0.236927327716676,0.0482137502898177,0.101600601015137,4.53786962264684,4.05599738665865
Global,Men,0.134388787254321,0.225150888649374,0.0481076621398589,0.102644433075585,4.22720020976331,3.83087782020582
Global,Women,0.164518599770491,0.25646946266185,0.0483191951898509,0.100563098077175,5.07529007299682,4.43003228281867
SEA,Both,0.167765757221241,0.267705831726796,0.0858221663184887,0.166617536800069,3.34886614061149,3.1940753924463
SEA,Men,0.156398176538491,0.256990815791964,0.0855836650908286,0.170720219027886,3.16622365711106,3.02599543148625
SEA,Women,0.185431075239358,0.28435705852171,0.0860672891014254,0.162400951019555,3.64494444569062,3.44669059663746
WPR,Both,0.0897492097669847,0.165285341607477,0.0276846160936026,0.0716549289690457,4.56148453818497,3.76344120960445
WPR,Men,0.0849608629779692,0.158938961800978,0.0210646818948662,0.0578880759389279,5.40782496522497,4.26447796898663
WPR,Women,0.100506449733723,0.179542773975409,0.0343610947581001,0.085539372193632,4.25183788586005,3.55826734921632
