g_whoregion,Sex,PAF17,PAF18.5,p17,p18.5,RR17,RR18.5
AFR,Both,0.106660797518145,0.198405253282519,0.0861337502603512,0.178139290341182,2.38616547345203,2.38943612674467
AFR,Men,0.100325241434713,0.195306883414565,0.101370577124023,0.211672519497565,2.10005084382815,2.14662863781146
AFR,Women,0.116640671578948,0.203285857395052,0.0712644506152562,0.145414915584209,2.85284747679048,2.75467094101314
AMR,Both,0.0279132084296324,0.0616378286730909,0.0148627837104398,0.035478362603802,2.93198859611019,2.85145547255501
AMR,Men,0.0233727983229964,0.0545235836155088,0.0131527772603344,0.0333303683109672,2.81955182509044,2.73018913041155
AMR,Women,0.0365572831136528,0.0751819941017353,0.0164985340602594,0.0375330814124348,3.29986665383922,3.16592464549396
EMR,Both,0.0933665818133779,0.16390344900285,0.0484961084645484,0.0906826442981176,3.12350283971386,3.16176004128845
EMR,Men,0.0882668760868853,0.156899941893112,0.0534323286870167,0.0988631617639593,2.81186535613577,2.88238809666797
EMR,Women,0.100111296941287,0.173166073727663,0.0433310455212638,0.0821228787861601,3.5674093573768,3.5502359114281
EUR,Both,0.0155000637552917,0.0397644997327653,0.0134986791625983,0.0367751141688492,2.16634361723792,2.12606571397205
EUR,Men,0.00864137084856731,0.0257108240961128,0.00822305433444571,0.0251434661808723,2.06003130813502,2.04954961045331
EUR,Women,0.0291864247866108,0.0678082802600629,0.0183574382555633,0.0474876605057616,2.63769484605562,2.53178112808817
Global,Both,0.0900144930614608,0.170376172846451,0.0482137502898177,0.101600601015137,3.05166783685007,3.02130274033372
Global,Men,0.0819030095870744,0.161137200086257,0.0481076621398589,0.102644433075585,2.8543727833584,2.87141228910849
Global,Women,0.103474903611378,0.185707568984339,0.0483191951898509,0.100563098077175,3.38865202619844,3.26783034735241
SEA,Both,0.105256447066146,0.19687046678352,0.0858221663184887,0.166617536800069,2.37072601639205,2.4712086337469
SEA,Men,0.0959246010575611,0.186562532211109,0.0855836650908286,0.170720219027886,2.23975100473906,2.34343078472097
SEA,Women,0.119758215915508,0.212889085644779,0.0860672891014254,0.162400951019555,2.58075736277085,2.66543962739699
WPR,Both,0.050382338994624,0.108616314547405,0.0276846160936026,0.0716549289690457,2.91642151196128,2.70053005382747
WPR,Men,0.0472788176831013,0.103874447108291,0.0210646818948662,0.0578880759389279,3.35584048683749,3.00239959582325
WPR,Women,0.0573545415022895,0.119269136529727,0.0343610947581001,0.085539372193632,2.7707303889497,2.58313810082291
