g_whoregion,Sex,PAF17,PAF18.5,p17,p18.5,RR17,RR18.5
AFR,Both,0.118277657861247,0.19559350342479,0.0861605645656433,0.178013291138189,2.55690579236945,2.36592365683408
AFR,Men,0.113613635232628,0.194607627243382,0.101207760092385,0.211120349825742,2.26646611933425,2.14451700120236
AFR,Women,0.125624504426477,0.197146472098799,0.071441816130517,0.14562888652385,3.01105476416551,2.68618476422124
AMR,Both,0.0331579896091286,0.0645596626726879,0.0148313848799391,0.0354141363308382,3.31233617358694,2.9488055348502
AMR,Men,0.0284399139492936,0.0580040338434563,0.0131347268287939,0.0332629101717925,3.22862792725564,2.85118111551793
AMR,Women,0.0421403056137731,0.0770403293679196,0.0164736924040578,0.0374964503862232,3.67057530832847,3.22610297047851
EMR,Both,0.100684432836381,0.159397370798541,0.0490436327865537,0.0916149001125659,3.28279853346169,3.06978052910554
EMR,Men,0.0956005382634444,0.153210140310015,0.0539016339681313,0.0996156438348592,2.96109264899482,2.81628633445617
EMR,Women,0.107408236615227,0.167580412980571,0.0438943688766987,0.0831344697130359,3.74142205624165,3.42158565194089
EUR,Both,0.0196444608748659,0.043508024803474,0.013477782668696,0.0367740109165631,2.48675038096102,2.23693544911013
EUR,Men,0.0116279049441355,0.0294314457853165,0.00821668004779199,0.0251604196842206,2.43180746155477,2.20522324555803
EUR,Women,0.0356413104477934,0.071597508492049,0.0183317656297792,0.0474889081578355,3.01609396373696,2.62393793782781
Global,Both,0.100590957846437,0.168676857276808,0.0484409107929959,0.101934103873705,3.30881637521464,2.99051805302906
Global,Men,0.0931341716029906,0.161142651131156,0.0483011433841891,0.102864324626301,3.12622199750373,2.86748710574063
Global,Women,0.112964946468463,0.181179318535401,0.0485801486883242,0.101007407293381,3.62146509052014,3.19061771245523
SEA,Both,0.117289391123848,0.193519703725849,0.08620798750324,0.167142828952112,2.54132023074648,2.43563382001993
SEA,Men,0.108791702093595,0.185262235628215,0.0859116279209854,0.171076945323387,2.42090355741347,2.32916092854057
SEA,Women,0.130494872864246,0.206351880073674,0.0865120289191433,0.163106737718782,2.73478158737033,2.59407421456462
WPR,Both,0.0593371538774047,0.112165896165914,0.0277439384632345,0.0717095788154516,3.27365521864171,2.76178064931493
WPR,Men,0.0561871682949353,0.107849896263914,0.0210815125703955,0.0578307452316258,3.82390121291598,3.09036927114547
WPR,Women,0.0664137404939198,0.121861987257047,0.0344513688692922,0.085682163558319,3.06489040933864,2.61962717318069
