g_whoregion,Sex,PAF17,PAF18.5,p17,p18.5,RR17,RR18.5
AFR,Both,0.183868136998953,0.27618176421044,0.0861337502603512,0.178139290341182,3.61560877219033,3.14193240444256
AFR,Men,0.180402743297388,0.280424237355773,0.101370577124023,0.211672519497565,3.17135444573272,2.84108797583808
AFR,Women,0.189326883201701,0.269498949452082,0.0712644506152562,0.145414915584209,4.27712926689891,3.53703977618373
AMR,Both,0.0545005966967626,0.0986814315387026,0.0148627837104398,0.035478362603802,4.87828606921067,4.08598318047984
AMR,Men,0.0476126192476762,0.0904086247415185,0.0131527772603344,0.0333303683109672,4.80093966307534,3.98210833427444
AMR,Women,0.0676139917631549,0.11443127750456,0.0164985340602594,0.0375330814124348,5.3953703173222,4.44277195346125
EMR,Both,0.152340109032033,0.219189803235703,0.0484961084645484,0.0906826442981176,4.70583209061139,4.09564174785836
EMR,Men,0.145408504330452,0.212289171998301,0.0534323286870167,0.0988631617639593,4.18439650518315,3.7260042722982
EMR,Women,0.161507637826597,0.228316367472001,0.0433310455212638,0.0821228787861601,5.44523562488872,4.60274556518209
EUR,Both,0.0338137020627777,0.0699318856544549,0.0134986791625983,0.0367751141688492,3.59263018098755,3.04459104094245
EUR,Men,0.0207395438072576,0.0493779219886265,0.00822305433444571,0.0251434661808723,3.57553716961358,3.06585466454412
EUR,Women,0.0599028786010993,0.110946838675508,0.0183574382555633,0.0474876605057616,4.47106617660513,3.62788542929102
Global,Both,0.157829587664218,0.240239392458315,0.0482137502898177,0.101600601015137,4.88702673946895,4.11222632291808
Global,Men,0.148595507034781,0.233532328833386,0.0481076621398589,0.102644433075585,4.62790150932183,3.96836818643506
Global,Women,0.173152865670735,0.25136927150708,0.0483191951898509,0.100563098077175,5.33395867477006,4.33891907227533
SEA,Both,0.183898829981573,0.273423443544884,0.0858221663184887,0.166617536800069,3.62564189176218,3.25857053403311
SEA,Men,0.1735073843602,0.266494785037597,0.0855836650908286,0.170720219027886,3.45294665777775,3.12814173974622
SEA,Women,0.200047225730205,0.284190638376049,0.0860672891014254,0.162400951019555,3.90556141793893,3.44469016569482
WPR,Both,0.0974027091262703,0.169612486338312,0.0276846160936026,0.0716549289690457,4.8979701158818,3.85056494777376
WPR,Men,0.0928402768331131,0.164214428440827,0.0210646818948662,0.0578880759389279,5.85845027154277,4.39412106136823
WPR,Women,0.107652421850101,0.181739470183929,0.0343610947581001,0.085539372193632,4.51093478902892,3.59651954719734
