g_whoregion,Sex,PAF17,PAF18.5,p17,p18.5,RR17,RR18.5
AFR,Both,0.126729473383326,0.181247902617194,0.0861605645656433,0.178013291138189,2.68430326865186,2.2435639811711
AFR,Men,0.124312587221917,0.18399440933251,0.101207760092385,0.211120349825742,2.40265926518906,2.06802494459222
AFR,Women,0.130536592946716,0.176921559236273,0.071441816130517,0.14562888652385,3.10149556758175,2.47601918745767
AMR,Both,0.0376107228114,0.0648268223505881,0.0148313848799391,0.0354141363308382,3.63499138239805,2.95742908555053
AMR,Men,0.0328595016082949,0.0593929249898878,0.0131347268287939,0.0332629101717925,3.58672557903401,2.89830604164251
AMR,Women,0.0466561416073676,0.0751719263187415,0.0164736924040578,0.0374964503862232,3.97076497324668,3.16772665488145
EMR,Both,0.105004743961155,0.143876594444087,0.0490436327865537,0.0916149001125659,3.39224444607545,2.83437307302835
EMR,Men,0.10017921113165,0.139298984893077,0.0539016339681313,0.0996156438348592,3.06547362835275,2.62468095743257
EMR,Women,0.111386846384494,0.149930801107028,0.0438943688766987,0.0831344697130359,3.85569855428714,3.1215606429707
EUR,Both,0.0233414534452673,0.0459577013142531,0.013477782668696,0.0367740109165631,2.7732366205581,2.30993476268237
EUR,Men,0.0143179616068473,0.0324529361018963,0.00821668004779199,0.0251604196842206,2.76786042827673,2.33310394707083
EUR,Women,0.0413476200346319,0.072906143948028,0.0183317656297792,0.0474889081578355,3.35280029351308,2.65595389556319
Global,Both,0.108789394526247,0.157672320515902,0.0484409107929959,0.101934103873705,3.51996154515152,2.83634754150997
Global,Men,0.102401174825623,0.153244357828843,0.0483011433841891,0.102864324626301,3.36192037314635,2.75938795911615
Global,Women,0.119390175520869,0.16502019909517,0.0485801486883242,0.101007407293381,3.79078400125363,2.95662642091511
SEA,Both,0.126783414794997,0.179481483418168,0.08620798750324,0.167142828952112,2.68419728297445,2.30871028547925
SEA,Men,0.119581378095525,0.174900011533155,0.0859116279209854,0.171076945323387,2.58096547437587,2.23905838209149
SEA,Women,0.137975441684887,0.186601130078132,0.0865120289191433,0.163106737718782,2.85014453376218,2.40649697786861
WPR,Both,0.0670751569786066,0.111235509454273,0.0277439384632345,0.0717095788154516,3.59147442438933,2.7453381508754
WPR,Men,0.0639583587831678,0.10771027739817,0.0210815125703955,0.0578307452316258,4.2411592780892,3.08733648703858
WPR,Women,0.0740771866129633,0.119155104428663,0.0344513688692922,0.085682163558319,3.32221920647323,2.5787842503789
