g_whoregion,Sex,PAF17,PAF18.5,p17,p18.5,RR17,RR18.5
AFR,Both,0.0691616669797831,0.131832540562059,0.0861337502603512,0.178139290341182,1.86261664863651,1.8524313236088
AFR,Men,0.064399785775325,0.12854489612496,0.101370577124023,0.211672519497565,1.67901941338929,1.69685968570751
AFR,Women,0.0766626620127647,0.137011293146189,0.0712644506152562,0.145414915584209,2.1650660740656,2.09179800718534
AMR,Both,0.0177152954144004,0.0398638246961813,0.0148627837104398,0.035478362603802,2.21341919152482,2.17026054515785
AMR,Men,0.0147165822017205,0.0349834053139988,0.0131527772603344,0.0333303683109672,2.13560768111577,2.08764504924125
AMR,Women,0.0234242733167478,0.0491552121783958,0.0164985340602594,0.0375330814124348,2.45383407505287,2.37735447397104
EMR,Both,0.0611873476384333,0.110230367915196,0.0484961084645484,0.0906826442981176,2.34392738451579,2.36615350968167
EMR,Men,0.0577515015376648,0.105269466995298,0.0534323286870167,0.0988631617639593,2.14708004396888,2.19007866729986
EMR,Women,0.0657314928138385,0.116791504042852,0.0433310455212638,0.0821228787861601,2.62368813748286,2.61021492680213
EUR,Both,0.00965461957173508,0.0252186997617433,0.0134986791625983,0.0367751141688492,1.72219954484442,1.70349574059007
EUR,Men,0.0053160497647069,0.0160729067436972,0.00822305433444571,0.0251434661808723,1.64993626078226,1.64969026283744
EUR,Women,0.0183121339911836,0.043468915490158,0.0183574382555633,0.0474876605057616,2.01613979114091,1.95697136482092
Global,Both,0.0580182962200522,0.112700337363551,0.0482137502898177,0.101600601015137,2.27747258643926,2.25013991772618
Global,Men,0.052398179060562,0.105795882014783,0.0481076621398589,0.102644433075585,2.14941287044749,2.15264799107422
Global,Women,0.0673444675109471,0.124157773467748,0.0483191951898509,0.100563098077175,2.49437970393584,2.40964381981735
SEA,Both,0.0676856580689197,0.130291888849495,0.0858221663184887,0.166617536800069,1.84593076117855,1.89913136954064
SEA,Men,0.0612317048858736,0.122544141761941,0.0855836650908286,0.170720219027886,1.76212648961332,1.81805464975694
SEA,Women,0.0777151567489254,0.142331954369616,0.0860672891014254,0.162400951019555,1.97904472482415,2.02186756584512
WPR,Both,0.0319516286971754,0.0703892032532609,0.0276846160936026,0.0716549289690457,2.19222283743565,2.05671730718736
WPR,Men,0.0298757937206178,0.0671040327350756,0.0210646818948662,0.0578880759389279,2.46196577556791,2.24258552463931
WPR,Women,0.0366150868713835,0.077769489008007,0.0343610947581001,0.085539372193632,2.1060970545303,1.98583379198193
