g_whoregion,iso3,pctxt18.5
AFR,AGO,28.8% (24.8% to 33.6%)
AFR,BDI,34.5% (30% to 39.8%)
AFR,BFA,26.1% (23% to 29.4%)
AFR,BWA,35.1% (30.5% to 42.4%)
AFR,CAF,41.3% (36.6% to 46%)
AFR,COD,28.8% (24.9% to 34.3%)
AFR,COG,30.3% (26.3% to 34.9%)
AFR,ERI,50.2% (45.6% to 54.7%)
AFR,ETH,34.4% (30.7% to 39%)
AFR,GIN,26.3% (22.9% to 30.5%)
AFR,GMB,29.5% (25.5% to 34.3%)
AFR,GNB,29.2% (24.7% to 34.8%)
AFR,GNQ,31.5% (26.3% to 38.4%)
AFR,KEN,30.3% (26.9% to 33.8%)
AFR,LSO,26.2% (22.9% to 29.8%)
AFR,MDG,33% (29.1% to 37.8%)
AFR,MLI,26.5% (23.2% to 30.6%)
AFR,MOZ,29.6% (26.1% to 33.3%)
AFR,MRT,29% (24.7% to 34.7%)
AFR,NAM,36.6% (31.9% to 41.5%)
AFR,NER,35.3% (31.7% to 39.4%)
AFR,NGA,25.4% (22.2% to 28.7%)
AFR,SEN,34.1% (30.1% to 38.5%)
AFR,SSD,31.8% (27.6% to 36.9%)
AFR,TCD,32.8% (28.4% to 37.9%)
AFR,TZA,31.6% (27.9% to 35.3%)
AFR,UGA,27.7% (24.4% to 30.8%)
AFR,ZMB,25.2% (20.5% to 35.8%)
AMR,GUY,25.6% (21.9% to 29.6%)
AMR,HTI,31.7% (27.8% to 36.4%)
AMR,SUR,27.1% (23% to 32.3%)
AMR,TTO,26.3% (22.5% to 30.5%)
AMR,VCT,25.1% (20.7% to 31.2%)
AMR,ATG,33.2% (22.8% to 53%)
EMR,DJI,37% (31.7% to 42.6%)
EMR,PAK,27.3% (23.9% to 31.1%)
EMR,SDN,39% (34.7% to 43.5%)
EMR,SOM,39.5% (34.7% to 45.6%)
EMR,YEM,32% (27.8% to 37.2%)
SEA,BGD,28.1% (24.6% to 31.7%)
SEA,IND,30.1% (26.8% to 33.5%)
SEA,LKA,30.3% (26.7% to 34.1%)
SEA,MMR,31.5% (27.8% to 35.6%)
SEA,PRK,28% (23.2% to 33.9%)
SEA,TLS,30.4% (26.8% to 34.4%)
WPR,PHL,25.2% (22% to 28.5%)
